iter	Passed	Remaining
0	140	140655
1	142	70947
2	143	47725
3	145	36110
4	146	29162
5	148	24610
6	149	21248
7	151	18734
8	152	16774
9	153	15237
10	155	13955
11	156	12882
12	157	11991
13	159	11219
14	161	10597
15	163	10024
16	164	9504
17	165	9039
18	166	8618
19	168	8245
20	169	7909
21	171	7610
22	172	7327
23	173	7069
24	175	6834
25	176	6617
26	177	6410
27	179	6215
28	180	6037
29	181	5869
30	182	5715
31	184	5567
32	185	5430
33	186	5300
34	187	5178
35	189	5068
36	190	4965
37	192	4862
38	193	4763
39	194	4669
40	195	4583
41	197	4499
42	198	4416
43	199	4337
44	200	4263
45	202	4195
46	203	4135
47	205	4075
48	207	4019
49	208	3962
50	209	3903
51	211	3847
52	212	3794
53	213	3743
54	214	3692
55	216	3643
56	217	3597
57	219	3556
58	220	3514
59	221	3471
60	222	3428
61	223	3388
62	225	3350
63	226	3313
64	227	3278
65	229	3245
66	230	3213
67	232	3183
68	233	3154
69	235	3125
70	236	3096
71	237	3065
72	239	3037
73	240	3010
74	241	2982
75	243	2955
76	244	2929
77	245	2904
78	246	2879
79	248	2857
80	249	2833
81	250	2808
82	251	2778
83	252	2756
84	254	2734
85	255	2711
86	256	2689
87	257	2668
88	258	2646
89	259	2625
90	260	2604
91	262	2587
92	263	2570
93	264	2553
94	266	2535
95	267	2518
96	268	2500
97	269	2482
98	270	2465
99	272	2448
100	273	2432
101	274	2415
102	275	2399
103	276	2385
104	278	2371
105	279	2357
106	280	2342
107	281	2327
108	283	2313
109	284	2299
110	285	2286
111	286	2271
112	287	2257
113	288	2243
114	289	2230
115	290	2216
116	291	2203
117	293	2194
118	294	2183
119	295	2170
120	296	2157
121	297	2143
122	299	2132
123	300	2120
124	301	2109
125	302	2097
126	303	2086
127	304	2074
128	305	2063
129	306	2053
130	308	2045
131	309	2034
132	310	2022
133	311	2013
134	312	2004
135	314	1995
136	315	1985
137	316	1976
138	317	1967
139	318	1958
140	320	1950
141	321	1939
142	323	1941
143	325	1933
144	326	1924
145	327	1915
146	328	1907
147	330	1899
148	331	1891
149	332	1884
150	333	1876
151	335	1869
152	337	1869
153	338	1862
154	340	1854
